"Company Name","Latest Reported Year","Latest S1 (tCO2e)","Latest S2 (tCO2e)","Base Year","Base S1+S2 (tCO2e)","% Reduction Achieved","Scope 3 Status","Recent Update","BD Signals","Source URL","Confidence"
"Icon Construction","","","","","","","","No public emissions disclosure or sustainability report from Icon Construction (Kajima-owned diversified construction services); only a generic Aug 2025 blog on sustainable property development; entity not to be confused with Icon Group (APOG Topco) or ICON plc clinical research","No public SBTi commitment found despite construction sector mandatory climate reporting starting Jan 2025; large undisclosed BD opportunity given Kajima parent revenues ~AUD30bn","https://icon.co/news/future-sustainable-property-development/","Low"
"Intrepid Travel","2024","","","2024","","","Lifecycle 8% intensity reduction per customer per day by 2030 (2024 base) replacing prior SBTi Scope 3 trip+airfare target; new target now includes customer-booked outbound flights for first time","WITHDREW FROM SBTi October 2025 — replaced 2035 SBTi targets with proprietary lifecycle intensity target; retained absolute 21% S1+S2 reduction by 2030 from 2024 base year; abolished carbon offsetting in favour of Climate Impact Fund (~$2M/year)","Major SBTi delisting in Oct 2025; abandoned carbon offsets; replaced trip airfare Scope 3 target with lifecycle intensity per customer day — material methodology shift; new 2024 rebaseline post offset abandonment","https://www.intrepidtravel.com/us/newsroom/releases/our-climate-action-plan-is-changing","High"
"King & Wood Mallesons (Australia & Singapore)","FY24","","","FY19","","","SBTi commitment letter signed; target dashboard shows Mallesons committed; net zero by 2050 commitment","Climate Active carbon neutral (Australia ops) maintained; 100% renewable electricity sourced for AU operations before 2024; SBTi targets due for validation","Carbon Active certified — exposed to Climate Active reform risk (term 'carbon neutral' under review); SBTi targets not yet validated despite Dec 2023 commitment deadline noted in PDS","https://www.climateactive.org.au/sites/default/files/2023-07/Public%20Disclosure%20Statement%20-%20Organisation%20(11)_1.pdf","Low"
"Labelmakers Group Australia","","","","","","","","No public sustainability report or emissions disclosure identified","Private label/packaging manufacturer; likely NGER-reportable but no public disclosure of FY24/FY25 metrics; SBTi profile unclear","","Low"
"Lander & Rogers","FY23","","","FY21","","","Climate Active carbon neutral certified (organisation + service); 100% renewable electricity in all 3 offices; FY23 offsets 67% VCUs + 33% ACCUs","First Australian law firm to commit to SBTi Net-Zero by 2030 across entire value chain; emissions reduction strategy targeting halving FY21 baseline by 2030","Climate Active certified — exposed to scheme reform; SBTi Net-Zero Standard validation in progress","https://www.climateactive.org.au/sites/default/files/2024-02/LR%20FY23%20Public%20Disclosure%20Statement%20Organisation%20Submitted.pdf","Medium"
"Levande","","","","","","","","No public sustainability report identified (Levande is the Stockland-divested retirement living portfolio acquired by EQT in 2022)","Private retirement living operator (formerly Stockland Retirement Living); transitioning from former parent's climate reporting; no standalone disclosed metrics found","","Low"
"Lyka Pet Food","2024","","","","","","Scope 3 reductions in progress — meal CO2e ranges 3.92 kg/kg (kangaroo) to 16.19 kg/kg (beef); offsets via tree planting (Greenfleet) and rePurpose plastic offsets","Marketing as 'carbon negative' via offsets (not pure reduction); B Corp certified; solar at Dandenong South + Wetherill Park kitchens (>800k kWh produced FY24)","Carbon-negative claims rely on offsets not absolute reductions — exposed to ACCC/Climate Active greenwashing scrutiny; Calyx.eco partnership for product-level LCA; no validated SBTi target","https://lyka.com.au/sustainability","Low"
"MYOB","CY23","","","","10707-13360","","Service certification: 10707 tCO2-e offset; organisation certification: 13360 tCO2-e offset; 45.73% renewable electricity (AU only)","Climate Active carbon neutral via 100% CERs offsets; carbon account by Energylink Services; Type 1 validation by RSM Australia Dec 2024 (arrears report for CY23)","100% CER offsets (international not ACCUs) — high greenwashing risk under Climate Active reform; only 45.73% renewable electricity in Australia despite SBTi commitment; CY23 reported in arrears in June 2025","https://www.climateactive.org.au/sites/default/files/2025-06/Public%20Disclosure%20Statement%20-%20MYOB%20CY23%20Organisation%20%28Feb%202024%29%20Signed.pdf","Medium"
"Mahindra Automotive Australia Pty Ltd","2023","750","1500","","","","Scope 3 emissions ~312,391 tCO2e (predominantly use phase emissions of sold vehicles)","Subsidiary of Mahindra Group; parent committed to carbon neutral S1+S2 by 2040 + 100% renewable electricity by 2030; Australian entity has only ~24 staff so emissions are small in operations","SBTi automaker pause was lifted March 2024; parent target now subject to new Land Transport Guidance which aligns Scope 3 use phase to 1.5°C — potential significant ratchet up of ambition expected","https://ditchcarbon.com/organizations/mahindra-automotive-australia-pty","Low"
"Midfield Group","","","","","","","","No public sustainability report or emissions data identified for the Warrnambool-based meat processor","Private meat processor (Warrnambool); SBTi commitment present per user prior data; no FY24/FY25 disclosure found; significant ACCU exposure as meat processor under Safeguard Mechanism scope","","Low"
